Date/Time,3m T,5m T,7m T,Surface PAR
7/3/19 16:48,21.96,20.84,18.6,90
7/3/19 17:03,21.92,20.72,18.62,117
7/3/19 17:18,21.9,20.37,18.63,87
7/3/19 17:33,21.99,20.7,18.55,81
7/3/19 17:48,22.07,20.35,18.13,88
7/3/19 18:03,22.07,20.48,17.51,105
7/3/19 18:18,21.94,20.39,17.46,117
7/3/19 18:33,22.1,20.27,17.06,105
7/3/19 18:48,22.17,20.35,17.24,60
7/3/19 19:03,22.13,20.29,16.81,45
7/3/19 19:18,22.06,20.24,16.77,37
7/3/19 19:33,21.93,20.1,16.92,32
7/3/19 19:48,21.98,20.24,17,23
7/3/19 20:03,21.95,20.14,17.06,15
7/3/19 20:18,21.92,20.19,17.5,9
7/3/19 20:33,21.95,19.9,17.59,6
7/3/19 20:48,21.91,19.88,17.93,8
7/3/19 21:03,21.96,20.06,17.76,9
7/3/19 21:18,21.97,19.75,17.9,5
7/3/19 21:33,21.98,19.9,17.96,5
7/3/19 21:48,21.99,20.04,17.95,6
7/3/19 22:03,22.04,19.83,17.53,6
7/3/19 22:18,22.04,20.07,18.11,5
7/3/19 22:33,22.09,20.07,17.68,5
7/3/19 22:48,22.08,20.09,17.5,5
7/3/19 23:03,22.11,20.08,17.57,5
7/3/19 23:18,22.09,20.11,17.64,5
7/3/19 23:33,22.05,20.12,17.85,6
7/3/19 23:48,22,20.12,17.93,5
7/4/19 0:03,21.91,20.1,17.88,5
7/4/19 0:18,21.98,20.08,18.02,3
7/4/19 0:33,22.01,20.08,17.95,5
7/4/19 0:48,22.07,20.11,17.92,5
7/4/19 1:03,22.02,20.15,18.01,5
7/4/19 1:18,22.03,20.02,17.85,5
7/4/19 1:33,22.12,20,17.96,3
7/4/19 1:48,22.07,20.07,17.38,5
7/4/19 2:03,21.98,20.12,17.51,5
7/4/19 2:18,22.09,20.17,17.58,6
7/4/19 2:33,22.17,20.19,17.5,5
7/4/19 2:48,22.11,20.15,17.48,8
7/4/19 3:03,22.05,20.07,17.56,1
7/4/19 3:18,22.03,20.06,17.6,5
7/4/19 3:33,21.95,20.05,17.54,5
7/4/19 3:48,22.04,20.11,17.44,5
7/4/19 4:03,21.9,20.09,17.56,6
7/4/19 4:18,21.87,20.03,17.53,5
7/4/19 4:33,21.88,19.99,17.61,5
7/4/19 4:48,21.96,19.98,17.55,10
7/4/19 5:03,21.91,19.98,17.64,21
7/4/19 5:18,21.78,20.03,17.48,28
7/4/19 5:33,21.74,20.05,17.57,33
7/4/19 5:48,21.78,20.24,17.41,66
7/4/19 6:03,21.74,20.15,17.61,85
7/4/19 6:18,21.84,20.13,17.72,91
7/4/19 6:33,21.83,20.25,17.69,81
